valeur sexe anciennete age formule
121 2 1 12 20.3 A
122 2 1 16 20 A
123 2 1 19 19.9 A
124 2 1 14 20 A
125 2 0 17 20.4 A
126 2 0 14 20 A
127 2 1 17 20.1 A
128 2 0 13 19.8 A
129 2 1 12 20.1 A
130 2 1 24 20 A
131 2 0 16 19.9 A
132 2 1 11 19.9 A
133 2 1 22 20.2 A
134 2 1 22 20.1 A
135 2 0 14 19.8 A
136 2 1 20 19.9 A
137 2 1 15 20.1 A
138 2 0 17 19.8 A
139 2 1 13 20.1 A
140 2 0 13 20 A
141 2 1 18 20.3 A
142 2 1 15 20.1 A
143 2 0 18 20.2 A
144 2 0 13 20.1 A
145 2 0 15 19.9 A
146 2 1 13 20 A
147 2 1 19 20.1 A
148 2 0 15 20 A
149 2 1 13 19.9 A
150 2 0 17 20 A
151 2 1 21 19.8 A
152 2 0 15 19.9 A
153 2 1 19 19.9 A
154 2 1 16 19.9 A
155 2 1 12 20 A
156 2 1 12 19.9 A
157 2 0 13 20.2 A
158 2 1 16 19.9 A
159 2 0 14 20.2 A
160 2 0 22 20 A
161 2 1 12 20.4 A
162 2 1 14 20.2 A
163 2 0 19 19.9 A
164 2 1 18 20 A
165 2 1 13 20.2 A
166 2 1 18 19.8 A
167 2 0 17 19.8 A
168 2 0 17 20 A
169 2 1 11 19.8 A
170 2 1 13 20.3 A
171 2 1 14 20 A
172 2 1 22 20.2 A
173 2 0 16 19.8 A
174 2 1 11 19.9 A
175 2 1 16 20 A
176 2 1 13 20 A
177 2 0 13 20.1 A
178 2 0 16 19.8 A
179 2 1 16 19.9 A
180 2 1 14 20.1 A
181 2 0 17 20.4 A
182 2 0 14 19.9 A
183 2 1 21 19.8 A
184 2 0 14 20.1 A
185 2 1 18 20 A
186 2 0 14 20 A
187 2 1 12 20.1 A
188 2 1 15 20 A
189 2 1 12 20.2 A
190 2 1 18 19.8 A
191 2 1 17 20 A
192 2 0 20 20.5 A
193 2 1 12 19.9 A
194 2 1 13 20 A
195 2 0 15 19.8 A
196 2 0 20 20 A
197 2 1 14 20 A
198 2 0 13 19.9 A
199 2 1 13 20 A
200 2 1 11 20 A
201 2 1 14 20.2 A
202 2 1 12 20.2 A
203 2 1 16 20.1 A
204 2 1 14 20.4 A
205 2 1 16 19.9 A
206 2 1 19 20 A
207 2 0 15 20.2 A
208 2 0 12 19.8 A
209 2 1 12 20 A
210 2 1 17 20.2 A
211 2 1 12 20.3 A
212 2 1 27 20.3 A
213 2 0 13 20 A
214 2 1 13 19.8 A
215 2 0 16 20.1 A
216 2 1 11 19.9 A
217 2 1 14 20 A
218 2 1 12 19.9 A
219 2 1 15 19.9 A
220 2 0 18 19.9 A
221 2 1 17 20.3 A
222 2 1 12 20 A
223 2 1 12 19.9 A
224 2 1 12 19.9 A
225 2 1 13 19.9 A
226 2 1 12 19.8 A
227 2 1 12 20 A
228 2 1 11 19.8 A
229 2 1 12 19.9 A
230 2 0 13 20.5 A
231 2 0 15 20 A
232 2 1 12 19.9 A
233 2 1 12 19.8 A
234 2 1 12 20 A
235 2 1 11 20 A
236 2 1 14 20 A
237 2 1 12 20 A
238 2 1 13 19.9 A
239 2 0 15 19.9 A
240 2 1 14 19.9 A
241 2 0 13 20 A
242 2 1 14 20.3 A
243 2 1 12 20.1 A
244 2 1 13 19.9 A
245 2 0 20 20.3 A
246 2 0 14 20 A
247 2 1 24 20.1 A
248 2 0 15 20.1 A
249 2 0 16 20.4 A
250 2 1 15 20.2 A
251 2 1 16 20.1 A
252 2 1 11 19.9 A
253 2 0 15 19.9 A
254 2 1 14 19.8 A
255 2 1 14 20.2 A
256 2 1 14 19.8 A
257 2 1 15 19.8 A
258 2 1 12 20.2 A
259 2 0 13 19.9 A
260 2 0 13 20.4 A
261 2 1 15 19.8 A
262 2 1 13 19.9 A
263 2 0 17 20.1 A
264 2 0 17 19.9 A
265 2 0 15 20 A
266 2 0 23 20.5 A
267 2 1 15 20 A
268 2 0 13 20.2 A
269 2 0 15 20.1 A
270 2 1 12 20.2 A
271 2 0 13 20.3 A
272 2 1 11 20 A
273 2 1 16 20.1 A
274 2 1 27 19.9 A
275 2 1 15 20 A
276 2 1 21 19.8 A
277 2 0 21 19.8 A
278 2 1 13 20 A
279 2 0 14 20.2 A
280 2 0 16 20.4 A
281 2 0 16 20.5 A
282 2 1 17 20 A
283 2 1 12 20.2 A
284 2 1 14 19.9 A
285 2 1 14 19.9 A
286 2 1 18 20.3 A
287 2 0 18 20.1 A
288 2 1 11 20 A
289 2 0 13 20 A
290 2 0 12 19.8 A
291 2 1 13 20.1 A
292 2 1 12 19.9 A
293 2 1 14 19.9 A
294 2 0 13 20.5 A
295 2 0 15 19.9 A
296 2 0 20 20 A
297 2 1 15 20.1 A
298 2 1 13 20.3 A
299 2 1 23 19.8 A
300 2 0 22 20.2 A
301 2 1 16 20.1 A
302 2 1 18 20 A
303 2 0 12 19.8 A
304 2 1 13 20 A
305 2 0 13 20.4 A
306 2 0 14 20.5 A
307 2 0 15 20.3 A
308 2 1 12 20 A
309 2 1 13 19.9 A
310 2 0 23 20.1 A
311 2 0 14 20.2 A
312 2 1 12 20.1 A
313 2 1 14 20.3 A
314 2 0 16 20.1 A
315 2 0 17 19.9 A
316 2 1 13 19.9 A
317 2 1 17 20 A
318 2 1 13 20.2 A
319 2 1 12 19.8 A
320 2 0 14 20.3 A
321 2 0 16 20 A
322 2 0 19 19.8 A
323 2 0 13 20.3 A
324 2 1 15 19.9 A
325 2 1 13 20 A
326 2 0 14 20.1 A
327 2 1 11 19.9 A
328 2 1 12 19.8 A
329 2 1 19 19.9 A
330 2 0 13 19.9 A
331 2 0 14 19.8 A
332 2 0 14 20 A
333 2 1 12 20.4 A
334 2 0 13 19.9 A
335 2 1 11 19.9 A
336 2 1 15 20.3 A
337 2 1 12 20 A
338 2 1 12 19.9 A
339 2 1 12 19.9 A
340 2 1 11 19.8 A
341 2 0 13 19.9 A
342 2 0 14 19.8 A
343 2 0 16 20 A
344 2 1 15 20.1 A
345 2 0 15 20.1 A
346 2 1 14 19.9 A
347 2 0 17 20.4 A
348 2 1 12 20 A
349 2 1 12 19.8 A
350 2 0 14 19.8 A
351 2 0 13 20.2 A
352 2 0 16 20.3 A
353 2 0 14 20.2 A
354 2 1 15 19.9 A
355 2 1 14 20.4 A
356 2 1 15 20.1 A
357 2 1 20 19.9 A
358 2 1 12 20.1 A
359 2 1 12 20.1 A
360 2 1 13 20 A
361 2 0 16 20.4 A
362 2 1 12 19.8 A
363 2 0 13 20.5 A
364 2 1 11 20 A
365 2 0 14 19.8 A
366 2 0 13 19.9 A
367 2 1 26 20.1 A
368 2 0 14 20 A
369 2 0 17 20 A
370 2 0 13 19.9 A
371 2 0 14 19.9 A
372 2 1 11 19.9 A
373 2 0 19 20 A
374 2 1 15 20.3 A
375 2 1 22 20.4 A
376 2 1 11 19.8 A
377 2 1 15 19.8 A
378 2 0 13 19.9 A
379 2 1 14 19.8 A
380 2 0 13 19.8 A
381 2 1 12 20 A
382 2 0 13 20 A
383 2 0 13 19.9 A
384 2 0 16 20 A
385 2 1 13 19.8 A
386 2 0 17 20.1 A
387 2 1 13 20.3 A
388 2 1 17 20 A
389 3 1 12 19.9 A
390 3 1 11 20 A
391 3 1 14 20 A
392 3 1 15 20 A
393 3 1 13 20.1 A
394 3 1 12 19.9 A
395 3 1 13 20 A
396 3 0 14 20.4 A
397 3 1 15 20.2 A
398 3 1 11 20 A
399 3 1 12 20.3 A
400 3 1 11 20 A
401 3 1 19 20.1 A
402 3 0 16 19.9 A
403 3 0 13 20.1 A
404 3 0 12 19.8 A
405 3 1 12 20 A
406 3 1 13 19.9 A
407 3 1 14 20 A
408 3 1 25 20 A
409 3 1 13 20 A
410 3 1 11 19.9 A
411 3 1 21 19.9 A
412 3 0 13 20 A
413 3 1 15 20.5 A
414 3 1 14 20.2 A
415 3 1 13 20 A
416 3 1 14 20.2 A
417 3 1 12 20.3 A
418 3 1 12 20.1 A
419 3 1 11 20 A
420 3 1 12 20.2 A
421 3 1 12 19.9 A
422 3 1 12 20.5 A
423 3 1 12 20.1 A
424 3 1 17 20.5 A
425 3 1 11 20 A
426 3 1 15 20 A
427 3 1 13 19.8 A
428 3 1 12 20.1 A
429 3 1 15 19.9 A
430 3 1 12 19.9 A
431 3 1 12 20 A
432 3 1 13 20 A
433 3 1 13 20 A
434 3 1 14 20 A
435 3 1 14 20 A
436 3 0 14 20.1 A
437 3 1 12 19.8 A
438 3 1 15 20.4 A
439 3 1 13 19.8 A
440 3 0 14 19.8 A
441 3 0 13 20 A
442 3 1 18 20.4 A
443 3 1 12 20.3 A
444 3 1 15 20.3 A
445 3 1 17 20.1 A
446 3 1 11 20 A
447 3 1 12 19.9 A
448 3 1 14 20 A
449 3 1 18 20.3 A
450 4 1 14 20.2 A
451 4 1 11 20 A
452 4 1 12 20.1 A
453 4 1 12 20.2 A
454 4 1 13 19.9 A
455 4 1 12 20.1 A
456 4 1 15 20.1 A
457 4 1 13 20.5 A
458 4 0 18 20.1 A
459 4 0 14 20.1 A
460 4 1 11 19.8 A
461 4 0 13 20.4 A
462 4 0 13 20.3 A
463 4 1 13 20.2 A
464 4 1 11 20 A
465 4 1 50 20.2 A
466 4 1 13 19.9 A
467 4 0 14 20.1 A
468 4 1 12 20.1 A
469 4 1 12 20.2 A
470 4 1 13 20.5 A
471 1 1 14 20.2 A
472 1 1 13 20.1 A
473 1 1 15 20.5 A
474 1 1 28 20 A
475 1 0 16 20.3 A
476 1 0 6 20.4 A
477 1 1 14 20.1 A
478 1 0 11 20 A
479 1 1 31 20.3 A
480 1 0 12 20 A
481 1 0 15 20 A
482 1 1 18 20 A
483 1 0 16 20.5 A
484 1 1 23 20.2 A
485 1 1 8 20.1 A
486 1 1 35 20.5 A
487 1 1 16 20.2 A
488 1 1 10 20.4 A
489 1 1 14 20 A
490 1 1 23 20.2 A
491 1 0 11 19.9 A
492 1 1 32 19.9 A
493 1 1 18 20 A
494 1 0 23 19.9 A
495 1 1 17 20.1 A
496 1 1 12 19.9 A
497 1 1 12 20.3 A
498 1 1 11 20.3 A
499 1 1 28 20.3 A
500 1 1 32 19.8 A
501 1 0 14 19.9 A
502 1 0 13 20.5 A
503 1 1 15 19.9 A
504 1 1 14 19.9 A
505 1 1 24 19.9 A
506 1 1 6 19.9 A
507 1 0 12 20 A
508 1 1 11 20.3 A
509 1 0 17 20.5 A
510 1 1 18 20 A
511 1 1 13 20.2 A
512 1 1 16 20.1 A
513 1 0 20 19.8 A
514 1 1 21 19.8 A
515 1 1 25 20 A
516 1 1 22 19.8 A
517 1 1 15 20.2 A
518 1 0 25 20.4 A
519 1 1 15 19.9 A
520 1 1 21 20 A
521 1 0 16 20 A
522 1 0 13 20 A
523 1 0 24 20.2 A
524 1 0 17 20.1 A
525 1 0 11 20.2 A
526 1 0 12 20.1 A
527 1 0 19 20 A
528 1 0 21 20 A
529 1 1 14 19.8 A
530 1 1 16 19.8 A
531 1 1 20 19.9 A
532 2 0 8 20.1 B
533 2 0 11 20 B
534 2 1 7 20 B
535 2 1 12 20.3 B
536 2 1 5 20 B
537 2 0 6 20.1 B
538 2 1 7 20 B
539 2 0 7 20.3 B
540 2 0 7 20.1 B
541 2 0 11 20.5 B
542 2 1 7 19.9 B
543 2 1 10 20 B
544 2 0 16 20.3 B
545 2 0 12 20 B
546 2 0 12 20.4 B
547 2 1 8 19.8 B
548 2 1 14 19.9 B
549 2 1 12 20 B
550 2 1 8 19.9 B
551 2 1 8 19.8 B
552 2 0 11 20 B
553 2 0 9 20.2 B
554 2 1 13 20.4 B
555 2 0 7 20.2 B
556 2 1 7 20 B
557 2 1 7 20.2 B
558 2 1 8 20 B
559 2 1 13 20.4 B
560 2 0 5 20.1 B
561 2 0 11 20.2 B
562 2 0 12 20.2 B
563 2 0 9 19.9 B
564 2 1 6 20.4 B
565 2 1 5 20.4 B
566 2 1 12 20.2 B
567 2 1 8 20.2 B
568 2 0 8 19.9 B
569 2 0 8 20.4 B
570 2 0 10 20 B
571 2 1 4 19.9 B
572 2 1 13 20.4 B
573 2 1 10 19.9 B
574 2 0 11 20.1 B
575 2 1 9 20 B
576 2 1 14 20.4 B
577 2 0 11 20.3 B
578 2 0 8 20.2 B
579 2 1 11 20.4 B
580 2 1 9 20.4 B
581 2 1 10 20.1 B
582 2 1 13 20.1 B
583 2 0 11 20 B
584 2 0 11 20.2 B
585 2 0 7 19.9 B
586 2 0 16 20.2 B
587 2 0 5 20.1 B
588 2 0 8 19.9 B
589 2 0 7 20.1 B
590 2 0 10 19.9 B
591 2 1 9 20.1 B
592 2 0 8 20 B
593 2 1 6 20.3 B
594 2 1 6 20.4 B
595 2 0 8 20.1 B
596 2 0 12 19.8 B
597 2 1 12 20.2 B
598 2 1 9 20.2 B
599 2 0 8 19.9 B
600 2 1 7 20.2 B
601 2 0 10 20.2 B
602 2 1 6 19.9 B
603 2 1 10 19.9 B
604 2 1 12 20.2 B
605 2 0 7 20 B
606 2 1 14 19.8 B
607 2 0 13 20.1 B
608 2 0 5 20.1 B
609 2 1 7 20.2 B
610 2 0 9 20.2 B
611 2 0 7 20.3 B
612 2 1 12 20 B
613 2 0 6 20.3 B
614 2 0 8 20 B
615 2 1 10 20.2 B
616 2 1 10 19.8 B
617 2 0 10 20.1 B
618 2 0 8 20 B
619 2 0 9 19.9 B
620 2 1 8 19.9 B
621 2 1 14 20.1 B
622 2 1 14 19.9 B
623 2 0 6 20.4 B
624 2 0 6 19.9 B
625 2 1 8 20 B
626 2 0 13 20 B
627 2 1 11 20 B
628 2 0 9 20.2 B
629 2 0 8 20.2 B
630 2 1 8 20 B
631 2 1 8 20.3 B
632 2 0 5 20.1 B
633 2 0 12 20 B
634 2 1 7 20 B
635 2 1 7 20 B
636 2 0 8 20.2 B
637 2 1 4 20.2 B
638 2 0 11 20.1 B
639 2 0 5 20.5 B
640 2 1 6 19.9 B
641 2 0 13 19.9 B
642 2 0 6 20.2 B
643 2 0 11 20.3 B
644 2 1 9 20 B
645 2 0 12 20.2 B
646 2 0 7 20.2 B
647 2 1 6 20.4 B
648 2 0 9 20 B
649 2 1 13 20 B
650 2 1 8 20.2 B
651 2 0 9 20.1 B
652 2 0 8 20.2 B
653 2 0 7 19.9 B
654 2 1 11 20.5 B
655 2 0 11 20 B
656 2 0 14 19.9 B
657 2 1 12 20.4 B
658 2 1 4 20.5 B
659 2 0 10 20.4 B
660 2 0 8 20.3 B
661 2 1 7 20 B
662 2 0 8 20.2 B
663 2 1 14 19.8 B
664 2 1 11 20.1 B
665 2 0 8 20 B
666 2 1 5 20 B
667 2 0 8 20 B
668 2 0 6 20.4 B
669 2 0 11 19.9 B
670 2 0 6 19.9 B
671 2 0 8 20.1 B
672 2 1 5 19.8 B
673 2 0 9 20 B
674 2 0 5 19.9 B
675 2 1 6 19.9 B
676 2 0 9 20.1 B
677 2 0 11 19.9 B
678 2 1 5 19.9 B
679 2 1 5 19.9 B
680 2 0 7 20 B
681 2 1 6 20 B
682 2 0 5 20.2 B
683 2 1 8 20.2 B
684 2 0 5 20.1 B
685 2 1 11 19.9 B
686 2 0 6 20.5 B
687 2 1 11 20.4 B
688 2 0 14 19.9 B
689 2 1 7 20 B
690 2 0 7 20.3 B
691 2 1 4 20 B
692 2 1 4 20 B
693 2 1 8 20 B
694 2 1 6 19.9 B
695 2 0 8 20.3 B
696 2 0 12 20.3 B
697 2 0 6 19.9 B
698 2 1 8 20.3 B
699 2 1 5 20.1 B
700 2 1 9 19.9 B
701 2 1 10 19.9 B
702 2 1 6 19.9 B
703 2 0 15 20.2 B
704 2 0 10 19.9 B
705 2 0 12 20.3 B
706 2 1 13 20.1 B
707 2 0 6 20.1 B
708 2 0 8 20 B
709 2 1 6 20 B
710 2 1 5 19.9 B
711 2 0 6 20.2 B
712 2 0 9 20 B
713 2 1 10 20.2 B
714 2 1 6 20 B
715 2 1 6 20 B
716 2 1 12 19.8 B
717 2 1 14 20.3 B
718 2 1 9 20.4 B
719 2 0 5 20.3 B
720 2 0 8 20.1 B
721 2 1 7 19.8 B
722 2 0 9 19.8 B
723 2 1 11 20 B
724 2 0 9 19.9 B
725 2 1 6 20.3 B
726 2 0 8 19.9 B
727 2 0 5 20.2 B
728 2 1 5 20.4 B
729 2 0 7 19.9 B
730 2 1 13 20.4 B
731 2 0 5 20 B
732 2 1 8 20.2 B
733 2 0 9 20.1 B
734 2 1 7 20.1 B
735 2 1 4 19.9 B
736 2 1 13 20.1 B
737 2 0 6 20.1 B
738 2 0 13 20.3 B
739 2 0 7 20.3 B
740 2 0 10 20.2 B
741 2 1 8 19.9 B
742 2 1 6 20.4 B
743 2 1 8 20 B
744 2 1 8 19.9 B
745 2 1 10 20 B
746 2 0 5 20.1 B
747 2 1 7 19.8 B
748 2 0 6 20.2 B
749 2 0 9 20 B
750 2 1 8 19.8 B
751 2 1 7 20.2 B
752 2 1 14 20.1 B
753 2 0 7 20.2 B
754 2 1 7 20 B
755 2 1 5 20 B
756 2 0 10 19.9 B
757 2 0 8 20.2 B
758 2 1 12 20 B
759 2 1 8 20.3 B
760 2 1 12 19.8 B
761 2 0 9 20 B
762 2 0 8 20.1 B
763 2 0 14 20.3 B
764 2 0 13 20 B
765 2 0 9 20.3 B
766 2 0 9 20 B
767 2 0 8 20.1 B
768 2 0 7 20.1 B
769 2 0 7 20 B
770 2 0 8 20.3 B
771 2 1 12 20.5 B
772 2 0 6 20.2 B
773 2 1 11 19.9 B
774 2 0 6 20.2 B
775 2 0 7 20.2 B
776 2 1 12 19.8 B
777 2 0 5 20.3 B
778 2 0 5 20.2 B
779 2 1 9 19.9 B
780 2 1 8 20 B
781 2 0 6 20.3 B
782 2 0 8 19.9 B
783 2 0 8 20.3 B
784 2 0 12 20.3 B
785 2 0 11 20.1 B
786 2 1 6 20.2 B
787 2 0 5 20.1 B
788 2 0 11 19.8 B
789 2 1 6 20.5 B
790 2 0 13 20.4 B
791 2 1 7 20.3 B
792 2 1 7 20.1 B
793 2 0 6 19.9 B
794 2 0 6 20.3 B
795 2 1 12 20.2 B
796 2 1 5 19.8 B
797 2 0 11 20.4 B
798 2 0 10 19.9 B
799 2 0 5 20.1 B
800 2 1 13 20.3 B
801 2 0 6 20.1 B
802 2 0 12 19.8 B
803 2 1 4 19.9 B
804 2 0 8 20 B
805 2 0 12 20 B
806 2 0 5 20.3 B
807 2 0 8 20.1 B
808 2 0 5 20.5 B
809 2 1 6 20.1 B
810 2 1 13 20 B
811 2 0 11 20 B
812 2 1 9 20 B
813 2 1 12 19.8 B
814 2 1 13 20.1 B
815 2 1 11 20.4 B
816 2 1 6 19.9 B
817 2 0 15 20.2 B
818 2 0 13 19.9 B
819 2 1 5 20.4 B
820 2 1 6 20.2 B
821 2 0 8 20.3 B
822 2 1 8 20.4 B
823 2 0 5 20.1 B
824 2 1 5 19.8 B
825 2 0 9 19.8 B
826 2 1 8 20 B
827 2 1 7 19.8 B
828 2 1 5 20 B
829 2 0 5 20.4 B
830 2 0 8 20.2 B
831 2 0 6 20.1 B
832 2 1 4 20 B
833 2 1 13 19.9 B
834 2 1 11 20.4 B
835 2 1 12 20.2 B
836 2 1 5 20.2 B
837 2 0 9 20.4 B
838 2 0 9 20.1 B
839 2 0 8 20.1 B
840 2 0 7 20.4 B
841 2 0 5 19.8 B
842 2 0 5 20.3 B
843 2 1 4 20.1 B
844 2 1 7 19.9 B
845 2 1 5 19.9 B
846 2 0 7 20.2 B
847 2 0 9 20.5 B
848 2 1 12 19.9 B
849 2 0 6 20 B
850 2 0 15 20.1 B
851 2 1 13 20.3 B
852 2 0 14 20 B
853 2 0 7 19.9 B
854 2 0 8 20.4 B
855 2 0 10 20.2 B
856 2 0 6 20.1 B
857 2 1 6 20.3 B
858 2 0 13 20.5 B
859 2 1 8 20.1 B
860 2 0 10 19.9 B
861 2 0 7 20.3 B
862 2 1 12 19.9 B
863 2 1 7 19.9 B
864 2 0 5 20 B
865 2 0 12 20.2 B
866 2 0 5 20.3 B
867 2 1 4 20.1 B
868 2 1 4 20.1 B
869 2 1 9 19.9 B
870 2 0 6 19.9 B
871 2 0 8 20.2 B
872 2 0 9 19.9 B
873 2 0 5 20 B
874 2 0 11 19.9 B
875 2 0 9 20 B
876 2 0 6 20.4 B
877 2 1 7 20 B
878 2 0 10 20 B
879 2 0 9 20.1 B
880 2 1 8 19.8 B
881 2 0 9 20.2 B
882 2 0 8 20.4 B
883 2 1 12 20.2 B
884 2 1 8 19.9 B
885 2 0 8 19.9 B
886 2 0 6 20 B
887 2 1 8 20 B
888 2 1 5 19.8 B
889 2 1 7 20.2 B
890 2 0 6 20 B
891 2 1 7 20.1 B
892 2 1 7 20.5 B
893 2 1 4 20 B
894 2 0 6 20.1 B
895 2 0 5 20 B
896 2 0 15 20 B
897 2 0 6 20 B
898 2 0 9 20.2 B
899 2 0 7 20.2 B
900 2 0 8 19.9 B
901 2 0 5 20.4 B
902 2 0 7 20.1 B
903 2 0 12 19.9 B
904 2 0 15 19.9 B
905 2 1 5 20 B
906 2 0 13 20.1 B
907 2 0 6 20.2 B
908 2 0 6 20 B
909 2 0 9 19.9 B
910 2 1 7 19.8 B
911 2 0 13 20.1 B
912 2 0 7 20.1 B
913 2 0 7 20.5 B
914 2 0 13 20 B
915 2 0 5 20.1 B
916 2 1 6 19.9 B
917 2 0 11 19.9 B
918 2 0 5 19.9 B
919 2 0 9 20.5 B
920 2 0 10 20.2 B
921 2 1 7 20 B
922 2 0 12 20 B
923 2 1 7 20 B
924 2 0 11 20 B
925 2 0 6 19.8 B
926 2 1 5 19.9 B
927 2 0 7 19.9 B
928 2 0 11 19.8 B
929 2 0 7 19.8 B
930 2 0 11 20.3 B
931 2 1 7 20 B
932 2 0 7 20.2 B
933 2 0 14 19.9 B
934 2 0 11 20.1 B
935 2 1 8 19.8 B
936 2 0 6 20 B
937 2 0 5 20.5 B
938 2 0 9 20.1 B
939 2 1 10 19.9 B
940 2 0 7 19.8 B
941 2 1 12 20.1 B
942 2 0 15 19.9 B
943 2 0 10 19.8 B
944 2 0 11 20.5 B
945 2 0 11 20 B
946 2 0 6 20.1 B
947 2 0 8 20.1 B
948 2 1 7 19.9 B
949 2 0 14 19.8 B
950 2 0 5 19.8 B
951 2 1 5 20.1 B
952 2 0 10 19.8 B
953 2 1 4 20 B
954 2 0 9 19.9 B
955 2 0 7 20.2 B
956 2 1 14 20.4 B
957 2 0 10 19.9 B
958 2 0 7 19.9 B
959 2 1 5 19.9 B
960 2 1 5 20.4 B
961 2 0 5 19.9 B
962 2 1 11 20.3 B
963 2 0 13 20.1 B
964 2 1 10 19.9 B
965 2 0 12 19.8 B
966 2 1 8 19.9 B
967 2 0 8 19.8 B
968 2 0 6 20 B
969 2 0 7 19.9 B
970 2 1 9 20 B
971 2 0 14 19.8 B
972 2 1 10 20 B
973 2 0 6 20.3 B
974 2 0 11 20.2 B
975 2 0 5 20.3 B
976 2 1 7 20.3 B
977 2 0 8 20.1 B
978 2 0 13 19.9 B
979 2 0 11 20.2 B
980 2 0 15 20.3 B
981 2 1 10 20.3 B
982 2 0 6 20 B
983 2 0 7 20 B
984 2 1 5 20.4 B
985 2 0 5 19.9 B
986 2 0 15 19.8 B
987 2 0 5 20.5 B
988 2 1 13 20 B
989 2 0 5 19.8 B
990 2 1 6 20.1 B
991 2 0 5 20.1 B
992 2 1 6 19.8 B
993 2 0 5 19.9 B
994 2 0 11 20.3 B
995 2 0 8 19.8 B
996 2 0 13 20 B
997 2 0 11 20 B
998 2 1 8 20 B
999 2 0 9 20.1 B
1000 2 0 7 20.5 B
1001 2 0 6 20.4 B
1002 2 0 8 20.3 B
1003 2 0 11 20.2 B
1004 2 0 8 19.8 B
1005 2 1 11 20 B
1006 2 0 8 19.8 B
1007 2 0 8 20.1 B
1008 2 0 10 19.8 B
1009 2 0 7 19.9 B
1010 2 1 9 19.9 B
1011 2 0 10 19.8 B
1012 2 1 11 20.3 B
1013 2 0 9 20 B
1014 2 0 11 20.2 B
1015 2 0 6 20.4 B
1016 2 0 8 19.8 B
1017 2 0 15 20.3 B
1018 2 0 5 19.8 B
1019 2 1 6 20 B
1020 3 1 12 19.9 B
1021 3 0 8 20.5 B
1022 3 0 6 20.1 B
1023 3 1 5 20.1 B
1024 3 0 12 19.9 B
1025 3 1 11 20.1 B
1026 3 1 7 20.1 B
1027 3 1 7 20.2 B
1028 3 1 7 20.2 B
1029 3 0 7 20.2 B
